SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
252,4.72176,4.72176,Park,0,1,1
253,4.72186,4.72186,Park,2,1,3
254,4.72195,4.72195,Park,0,0,0
255,4.72205,4.72205,Park,0,0,0
256,4.72215,4.72215,Park,0,0,0
257,4.72225,4.72225,Park,0,0,0
258,4.72235,4.72235,Park,0,0,0
259,4.72246,4.72246,Park,0,0,0
260,4.72256,4.72256,Park,2,0,2
261,4.72267,4.72267,Park,0,0,0
262,4.72278,4.72278,Park,1,0,1
263,4.72289,4.72289,Park,0,0,0
264,4.723,4.723,Park,0,0,0
265,4.72311,4.72311,Park,0,0,0
266,4.72323,4.72323,Park,0,0,0
267,4.72334,3.47077,Park,0,1,1
268,4.72346,2.73227,Park,0,0,0
269,2.38603,1.17725,Park,0,2,2
270,3.38213,3.38196,Park,0,0,0
271,4.7232,4.7232,Park,0,1,1
272,4.7233,4.7233,Park,0,0,0
273,4.72339,4.72339,Park,0,1,0
274,4.72349,4.72349,Park,2,1,3
275,4.72359,4.72359,Park,0,0,0
276,4.72369,4.72369,Park,0,0,0
277,4.7238,4.7238,Park,0,0,0
278,4.7239,4.7239,Park,0,1,0
279,4.72401,4.50633,Park,2,2,3
280,4.72411,4.72411,Park,0,0,0
281,4.72422,4.72422,Park,0,0,0
282,4.72433,4.72433,Park,0,0,0
283,4.72444,4.72444,Park,0,0,0
284,4.72456,4.72456,Park,0,0,0
285,4.72467,3.40748,Park,0,1,1
286,4.72479,0.00837,Outside,0,0,0
287,3.4074,0,Outside,0,0,0
288,1.24897,0,Outside,0,0,0
289,3.84779,3.74645,Park,0,0,0
290,4.72464,4.72464,Park,0,0,0
291,4.72474,4.72474,Park,0,0,0
292,4.72484,4.72484,Park,0,0,0
293,4.72493,4.72493,Park,3,2,4
294,4.72503,4.72503,Park,2,2,3
295,4.72513,4.72513,Park,0,1,1
296,4.72524,4.72524,Park,2,1,2
297,4.72534,4.72495,Park,0,0,0
298,4.72545,1.40352,Park,0,0,0
299,4.72555,3.21892,Park,3,0,3
300,4.72566,4.72566,Park,0,0,0
301,4.72577,4.72577,Park,0,0,0
302,4.72589,4.72589,Park,0,1,1
303,4.726,4.726,Park,0,0,0
304,4.72611,4.51793,Park,0,0,0
305,4.08999,0.29634,Outside,0,0,0
306,2.22735,0,Outside,0,0,0
307,4.49221,3.86786,Park,0,0,0
308,4.72608,4.72608,Park,0,0,0
309,4.72618,4.72618,Park,2,0,2
310,4.72628,4.72628,Park,0,0,0
311,4.72637,4.72637,Park,3,0,3
312,4.72647,4.72647,Park,3,2,5
313,4.72658,4.72658,Park,6,2,7
314,4.72668,4.72668,Park,0,1,1
315,4.72678,4.35546,Park,0,0,0
316,4.72689,0,Outside,1,0,1
317,4.727,0.32783,Outside,0,0,0
318,4.72711,4.22857,Park,0,0,0
319,4.72721,4.72721,Park,0,0,0
320,4.72733,4.72733,Park,0,0,0
321,4.72744,4.72744,Park,0,0,0
322,4.72755,4.72755,Park,0,0,0
323,4.50375,3.88367,Park,0,0,0
324,1.41697,1.39119,Park,0,0,0
325,0.30676,0.30671,Park,0,0,0
326,0.11863,0,Outside,0,0,0
327,2.60981,0,Outside,0,0,0
328,4.72734,0,Outside,0,0,0
329,4.72743,1.98347,Park,0,0,0
330,4.72753,4.6976,Park,2,1,3
331,4.72762,4.72762,Park,2,0,2
332,4.72772,4.72772,Park,2,0,2
333,4.72781,4.72781,Park,0,0,0
334,4.72791,4.72791,Park,2,0,2
335,4.72802,4.72802,Park,5,1,6
336,4.72812,4.72812,Park,0,1,1
337,4.72822,4.4152,Park,0,1,0
338,4.72833,0.01852,Outside,0,0,0
339,4.72843,0.12914,Outside,0,0,0
